"goal","dimension","region_id","score","region_label"
"MAR","score",101,12.37,"Namibia"
"MAR","score",102,0.22,"South Africa"
"MAR","score",103,,"Sao Tome and Principe"
"MAR","score",104,,"Equatorial Guinea"
"MAR","score",105,,"Bouvet Island"
"MAR","score",106,,"Ghana"
"MAR","score",107,,"Clipperton Island"
"MAR","score",108,,"Bermuda"
"MAR","score",110,0,"Bahamas"
"MAR","score",111,0,"Turks and Caicos Islands"
"MAR","score",112,1.83,"Cuba"
"MAR","score",113,,"Cayman Islands"
"MAR","score",114,,"Haiti"
"MAR","score",115,0.25,"Dominican Republic"
"MAR","score",116,0,"Puerto Rico and Virgin Islands of the United States"
"MAR","score",117,,"British Virgin Islands"
"MAR","score",118,,"Anguilla"
"MAR","score",119,0,"Saint Kitts and Nevis"
"MAR","score",120,,"Antigua and Barbuda"
"MAR","score",121,,"Montserrat"
"MAR","score",122,,"Saint Lucia"
"MAR","score",123,,"Dominica"
"MAR","score",124,,"Barbados"
"MAR","score",125,,"Grenada"
"MAR","score",126,,"Trinidad and Tobago"
"MAR","score",127,,"Saint Vincent and the Grenadines"
"MAR","score",129,6.79,"Panama"
"MAR","score",130,6.28,"Costa Rica"
"MAR","score",131,20.55,"Nicaragua"
"MAR","score",132,3.72,"Colombia"
"MAR","score",133,5.4,"Honduras"
"MAR","score",134,0.36,"El Salvador"
"MAR","score",135,19.96,"Mexico"
"MAR","score",136,25.94,"Guatemala"
"MAR","score",137,100,"Ecuador"
"MAR","score",138,13.56,"Peru"
"MAR","score",139,4.78,"Venezuela"
"MAR","score",140,0.1,"Guadeloupe and Martinique"
"MAR","score",141,100,"Faeroe Islands"
"MAR","score",143,90.27,"Iceland"
"MAR","score",144,,"Jan Mayen"
"MAR","score",145,,"Greenland"
"MAR","score",146,,"Pitcairn"
"MAR","score",147,0,"French Polynesia"
"MAR","score",148,,"Line Group"
"MAR","score",149,,"Jarvis Island"
"MAR","score",150,,"Palmyra Atoll"
"MAR","score",151,,"American Samoa"
"MAR","score",152,,"Samoa"
"MAR","score",153,0,"Cook Islands"
"MAR","score",154,,"Niue"
"MAR","score",155,0,"Tonga"
"MAR","score",156,,"Tokelau"
"MAR","score",157,,"Phoenix Group"
"MAR","score",158,,"Howland Island and Baker Island"
"MAR","score",159,,"Johnston Atoll"
"MAR","score",161,,"Wallis and Futuna"
"MAR","score",162,100,"New Zealand"
"MAR","score",163,11.27,"United States"
"MAR","score",164,86.4,"Belize"
"MAR","score",166,0.02,"Jamaica"
"MAR","score",167,0.34,"Guyana"
"MAR","score",168,0.29,"Suriname"
"MAR","score",169,,"French Guiana"
"MAR","score",171,4.09,"Brazil"
"MAR","score",172,0.06,"Argentina"
"MAR","score",173,0,"Uruguay"
"MAR","score",174,16.74,"Finland"
"MAR","score",175,5.59,"Denmark"
"MAR","score",176,15.92,"Germany"
"MAR","score",177,26.97,"Netherlands"
"MAR","score",178,,"Poland"
"MAR","score",179,39.77,"France"
"MAR","score",180,18.85,"United Kingdom"
"MAR","score",181,64.6,"Ireland"
"MAR","score",182,29.35,"Spain"
"MAR","score",183,2.85,"Portugal"
"MAR","score",184,11.87,"Italy"
"MAR","score",185,,"Monaco"
"MAR","score",186,6.55,"Montenegro"
"MAR","score",187,12.01,"Croatia"
"MAR","score",188,9.99,"Slovenia"
"MAR","score",189,,"Lithuania"
"MAR","score",190,0,"Qatar"
"MAR","score",191,9.03,"Iran"
"MAR","score",192,,"Iraq"
"MAR","score",193,,"Guinea Bissau"
"MAR","score",194,,"Guinea"
"MAR","score",195,,"Ivory Coast"
"MAR","score",196,0,"Nigeria"
"MAR","score",197,,"Cameroon"
"MAR","score",198,,"Gabon"
"MAR","score",199,,"Democratic Republic of the Congo"
"MAR","score",200,,"Angola"
"MAR","score",202,0.16,"Tanzania"
"MAR","score",203,7.06,"India"
"MAR","score",204,14.43,"Bangladesh"
"MAR","score",205,5.07,"Myanmar"
